blockchain,dao_creator_tool,dao,dao_wallet_address,value,block_date,tx_type,tx_hash
ethereum,syndicate,0x61bc6fe0e5d6681fd2d2d97500581001f70d833e,0xd0e50f5455e3f7a0bdbcad115b5318a18ac22dfe,0.0202891,2022-10-28,tx_out,0x915d526e256f8b361dc5e8d07798d45cbd4e34c9226c2e168b2b223c6deef523
ethereum,syndicate,0x38501c6792efbef962a16ce5b50e9b37d9bbdc52,0xf3b3b724e16803cca99d8a07e32e84e63036e207,25,2022-08-07,tx_in,0xe07efccc1d7c3e42bf2c19cde6da883db5d8ac2a4f8b5f07dae3d83b8dbf84aa
ethereum,zodiac,0x0658f4ed17289144717713adffc2539ef7c2ef8e,0x0658f4ed17289144717713adffc2539ef7c2ef8e,0.231,2022-07-20,tx_in,0xc1266a6a07caae280b4e09284caa9c369d59f0d64026ef1e97e91bc4bab99ae4
ethereum,zodiac,0x148d8d279883bf977300e578a2e2e0f1d9054a82,0x148d8d279883bf977300e578a2e2e0f1d9054a82,0.00376248,2022-09-22,tx_in,0x725d77786f6568581edfa08fd994bd850a7d7b978fb6694354b96b3888d7cd91
ethereum,dao-haus,0x519f9662798c2e07fbd5b30c1445602320c5cf5b,0x519f9662798c2e07fbd5b30c1445602320c5cf5b,120,2022-10-11,tx_out,0xe3fa076fcce33969d825e970af583d05dbf297c4a1f7121d860915e5cfb0aacc
ethereum,dao-haus,0x4dee5bb2e919c5c123b74e7919f6c1984a6bc349,0x4dee5bb2e919c5c123b74e7919f6c1984a6bc349,5,2022-10-24,tx_in,0x7f396f3729b7aed763a7ef2e61c5999044acb3bf6745835cfce088cbe48e7f5f
ethereum,aragon,0x5c5c93757ba3648b50204629cd68292d8fac17d9,0x973f73e452dc335a6931c76c8e2541f92cc0db82,2,2022-06-01,tx_in,0x4f28f907688d897289f40e0b0c5314c67160110d681ed34b571527a5f73d0210
ethereum,aragon,0xe38880886853a690548512fba215801db7f5b871,0x96fa07b7451a0ded857d01ed3b5a9b1c7bfdfe7d,0.05,2021-12-16,tx_in,0xf0297420fc2671f94ba8f90d2acfa303890ed623917b86d91dd59ca4abd470d0
gnosis,colony,0x725cdb48f0ea078e46e96b0b6cd2027b97b99b83,0x725cdb48f0ea078e46e96b0b6cd2027b97b99b83,500,2022-10-15,tx_out,0xf14f560faa568fe78116ff1614c7db2cfeb5b7845d1e856aab2d6750bbf97646
gnosis,colony,0x73b63be2c0c8e1edceb412f9a532f26b79706b54,0x73b63be2c0c8e1edceb412f9a532f26b79706b54,500,2022-09-05,tx_in,0xe3b38d11c7137619444efbb4855fa18df57413db5a1bf92cf3df5b9dfe090408
gnosis,dao-haus,0xffe8a8ec2477390c6b97074f44326fac24d7f6dd,0xffe8a8ec2477390c6b97074f44326fac24d7f6dd,260,2022-09-09,tx_in,0x86acd4ebcc3e5fac8dc5c683812653e55bd99ece587f466d6b4ddfae1be5301f
gnosis,dao-haus,0xcf1b75b25b60f619d529aa70847aa65270fe81df,0xcf1b75b25b60f619d529aa70847aa65270fe81df,680,2022-09-08,tx_out,0x98b4f9747f7fea7e197a874e6e9d717715344a22a69b702afdccb342f1c6ac03
gnosis,aragon,0xd8e77012b8c27ecc7b8194c546f3b1c1de9b6119,0xadeec5fcc377474f32b119948629eefb02bb6786,428.481882,2022-05-12,tx_out,0xac1a1ba252b675ff71227f34f5feefc325aca6dfe61439c7f850f5fd1460090d
gnosis,aragon,0xba4858a7cdca54698a28947f2df874990bb724f1,0xb85431ead6471b6fb83afe797b03578c84b24af6,3,2021-10-24,tx_in,0xa7350715929b9af26e762e7b07d168d54e3313182dbcca571f36add6f46a35e6
