blockchain,project,version,block_date,tx_hash,evt_index,token_bought_address,token_sold_address,block_number,token_bought_amount_raw,token_sold_amount_raw
bnb,biswap,1,2022-11-22,0x66a602998a3585037eb498c103b009a4face2faf93ea57dfb1a44d1fa4a06dad,163,0xe9e7cea3dedca5984780bafc599bd69add087d56,0x563ca064e41f3b5d80adeecfe49ab375fd7afbef,23279376,33830622552179025128,2128265500000000000000
bnb,biswap,1,2022-11-22,0x9050a1e2f7aa392e39195b5b22382d595e94104b72699655b198c498f82bbfe6,153,0xe9e7cea3dedca5984780bafc599bd69add087d56,0x563ca064e41f3b5d80adeecfe49ab375fd7afbef,23279376,26146488901376957832,1643319000000000000000
bnb,biswap,1,2022-11-22,0xe2efd633720bd29322da7e39857e98b3c9904a1c55f9b3995441160983e06296,119,0xe9e7cea3dedca5984780bafc599bd69add087d56,0x563ca064e41f3b5d80adeecfe49ab375fd7afbef,23279376,43898605549510836795,2756028100000000000000
bnb,biswap,1,2022-11-22,0x0b9ba3ee4a0b3f4db2baba70be527f5a50aea77423cd921106ec9f0ac8dcf169,115,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xe9e7cea3dedca5984780bafc599bd69add087d56,23279359,18248512111984361,4837104443141354752
bnb,biswap,1,2022-11-22,0xaf03946d9b98e5d6e841bb50555208801e48d773a8dfdf1ecc203d943c27c603,350,0x2170ed0880ac9a755fd29b2688956bd959f933f8,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,23279351,6247796965743473757,438490000000000000
bnb,biswap,3,2023-07-04,0xf1e982bbc994157eb9166ff1dd38007563be61732e4d9cf68c9054c06172d914,388,0x55d398326f99059ff775485246999027b3197955,0x965f527d9159dce6288a2219db51fc6eef120dd1,29664531,347911581571865648624,3393698051279173846642
bnb,biswap,3,2023-07-04,0x374992d7f8a643561b0e2e81fba3476bed551ff56923cdb7249a6ed55f0048f9,62,0x55d398326f99059ff775485246999027b3197955,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,29662860,4250697312725837225789,17322000000000000000
bnb,biswap,3,2023-07-04,0x48f8c54608537fd65159b1ddd29816ecb8898d24d8db5d499081dc6d54ff970b,203,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x55d398326f99059ff775485246999027b3197955,29664624,3749781573844576622,917999999999999999988
bnb,biswap,3,2023-07-04,0xc7eafa7888604093d5519a2781a11ccfc13a3886ff527a2d7994ab149736bc38,111,0x55d398326f99059ff775485246999027b3197955,0x965f527d9159dce6288a2219db51fc6eef120dd1,29664425,432862389319386094809,4211332437474353666170
bnb,biswap,3,2023-07-04,0x72d5dac9c7a76ac8a22f187904b7426b558679e7e67bf57d445c2843e76b7ce9,353,0x55d398326f99059ff775485246999027b3197955,0x965f527d9159dce6288a2219db51fc6eef120dd1,29662819,2067243047710360147248,19999999999999999999998
